split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
validation,15,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,305,395,46,47,70.91803278688525,92.5672108502258,57.59166525055216,48.965454792411826,3.055737704918033
validation,15,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,317,384,35,43,39.397476340694006,50.8440741268541,35.18834723164274,30.366173896129155,-5.056782334384858
validation,15,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,316,395,46,52,40.40506329113924,53.45363541650377,33.6253581263538,27.496500484548292,-1.2215189873417722
validation,16,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,362,386,24,0,27.623556860562037,35.360586700445005,23.907132709616878,22.24880984208134,14.468935806326657
validation,16,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,362,398,36,0,32.79925852427756,43.89854807924546,24.913917052137624,22.07882846902668,5.424560079579229
validation,16,naive,1,freeze_20260610_192142,baselines_full_20260718,343,386,24,28,43.30320699708455,54.597199812858975,36.44917384990245,34.71706051469041,3.892128279883382
validation,16,naive,3,freeze_20260610_192142,baselines_full_20260718,342,398,36,39,51.08479532163743,65.4412597642509,38.187656831694966,33.9697847601641,5.06140350877193
validation,16,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,341,386,24,28,52.598240469208214,67.55872866019475,48.35003461031898,42.229180891389824,2.686217008797654
validation,16,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,339,398,36,37,59.72271386430678,76.03562276461962,48.65017526887889,40.58209224478342,4.23598820058997
validation,16,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,353,386,24,22,34.373937677053824,45.27442292403975,29.297434613560608,27.135700867698365,1.954674220963173
validation,16,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,350,398,36,32,41.51714285714286,53.01522692316129,30.976168432243444,27.242730459888637,-0.82
validation,17,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,349,383,34,0,28.768841684774433,36.65770723224511,27.116567538315007,24.80685316001946,16.479404545258124
validation,17,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,353,396,43,0,33.621914317046766,45.86929708589834,27.480641477534828,24.330741602946922,7.838649284581701
validation,17,naive,1,freeze_20260610_192142,baselines_full_20260718,329,383,34,33,39.58358662613982,49.86318668134074,38.09943718100525,33.514334242627,1.9544072948328268
validation,17,naive,3,freeze_20260610_192142,baselines_full_20260718,331,396,43,47,45.036253776435046,60.61818996541203,35.48870159596092,32.245295262816356,5.308157099697885
validation,17,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,324,383,34,36,50.98765432098765,66.0692678039355,49.77049627481677,43.90814373803955,3.4135802469135803
validation,17,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,329,396,43,42,64.19756838905775,85.54330210457395,54.570458319218986,46.13284406875915,3.492401215805471
