route,dia_op,tipo_dia,n,relleno_objetivo_ajuste_pct,relleno_objetivo_stop_pct,mae_original,mae_enmascarada,delta_mae,sesgo_original,sesgo_enmascarada,epoca_mejor_original,epoca_mejor_enmascarada,epocas_original,epocas_enmascarada,segundos_original,segundos_enmascarada,mae_stop_observado_original,mae_stop_relleno_original,aporte_relleno_loss_original
1,2026-06-07,DOMINGO,17,14.014996,14.560437,11.481475830078125,11.953188279095817,-0.4717124490176925,-2.3814419017118564,5.601342145134421,175,127,205,157,1.4063638999359682,0.9778628000058234,0.5293333530426025,0.27476876974105835,0.08127191659917311
1,2026-06-08,FESTIVO_PUENTE,8,14.171177,17.307693,13.495370864868164,75.00625705718994,-61.51088619232178,10.108802795410156,75.00625705718994,258,128,288,158,1.533774699899368,0.9930524999508634,0.5060921311378479,0.20771841704845428,0.07910929016842226
1,2026-06-09,LABORAL,25,14.18159,22.252745,30.732181091308593,30.267509155273437,0.4646719360351561,22.151186218261717,18.313028564453123,340,280,370,310,2.2154372999211773,1.7400032000150532,0.4858649671077728,0.19738630950450897,0.10416633321718521
1,2026-06-10,LABORAL,24,14.192003,22.252745,37.20572026570638,37.397317250569664,-0.19159698486328125,20.639087677001953,20.593751907348633,365,290,395,320,2.4992897000629455,1.8688526999903843,0.48132362961769104,0.1991649717092514,0.10589225386885893
3,2026-04-02,FESTIVO,19,10.955173,15.934068,25.807479055304277,11.868661579332853,13.938817475971424,-25.290178800884046,-5.29810895417866,469,352,499,382,2.981700100004673,2.2212069999659434,0.38227975368499756,0.11657934635877609,0.05464397782590316
3,2026-04-03,FESTIVO,11,10.976118,17.85714,22.682499972256746,18.1606181751598,4.521881797096945,17.31393640691584,12.10074268687855,262,435,292,465,1.7139321999857202,2.7483209000201896,0.3916807174682617,0.12384507060050964,0.0643158428422043
3,2026-04-04,SABADO,23,10.986596,21.428574,25.99873219365659,37.690337471340015,-11.691605277683426,20.63614687712296,32.67327482804008,404,351,434,381,1.762656000093557,1.6225472999503836,0.3642958998680115,0.11561933159828186,0.07966215072806049
3,2026-04-05,DOMINGO,11,10.902804,19.780218,8.354191173206676,11.503483858975498,-3.149292685768822,8.354191173206676,11.503483858975498,533,366,563,396,2.9277184000238776,2.228167499997653,0.3711320757865906,0.16148819029331207,0.09689476130348149
3,2026-04-06,LABORAL,27,11.018014,21.703297,32.934288024902344,31.73386100486473,1.2004270200376155,9.327482718008536,1.3248344703956887,336,432,366,462,2.2751906999619678,2.6144697999116033,0.39567574858665466,0.1959632784128189,0.12071155971286295
3,2026-04-07,LABORAL,26,11.1227455,21.703297,39.12622921283428,37.27263993483324,1.8535892780010457,-17.501361846923828,-11.566273615910458,379,133,409,163,2.496802000096068,0.9922327999956906,0.37301892042160034,0.15724429488182068,0.10462408747163861
