route,dia_op,tipo_dia,hora,real,pred_xgboost,pred_media
3,2026-04-16,LABORAL,12:00,159.0,171.00877,168.93388429752065
3,2026-04-16,LABORAL,12:30,98.0,122.82867,137.52941176470588
3,2026-04-16,LABORAL,13:00,146.0,118.06055,138.86776859504133
3,2026-04-16,LABORAL,13:30,140.0,137.25627,133.7
3,2026-04-16,LABORAL,14:00,26.0,116.607155,127.34166666666667
3,2026-04-16,LABORAL,14:30,100.0,135.95615,143.63025210084032
3,2026-04-16,LABORAL,15:00,171.0,118.76103,138.85833333333332
3,2026-04-16,LABORAL,15:30,109.0,126.23616,133.50420168067228
3,2026-04-16,LABORAL,16:00,91.0,99.97543,104.58974358974359
3,2026-04-16,LABORAL,16:30,53.0,79.03761,82.52136752136752
3,2026-04-16,LABORAL,17:00,49.0,43.54182,51.65934065934066
3,2026-04-17,LABORAL,04:00,51.0,55.059666,56.19130434782609
3,2026-04-17,LABORAL,04:30,175.0,134.79034,138.71666666666667
3,2026-04-17,LABORAL,05:00,273.0,266.53473,269.9586776859504
3,2026-04-17,LABORAL,05:30,179.0,240.729,240.0495867768595
3,2026-04-17,LABORAL,06:00,288.0,271.43164,298.1900826446281
3,2026-04-17,LABORAL,06:30,291.0,178.9472,211.50413223140495
3,2026-04-17,LABORAL,07:00,120.0,161.63036,172.3801652892562
3,2026-04-17,LABORAL,07:30,111.0,145.91466,150.44166666666666
3,2026-04-17,LABORAL,08:00,143.0,131.32274,139.71794871794873
3,2026-04-17,LABORAL,08:30,187.0,137.56499,138.14166666666668
3,2026-04-17,LABORAL,09:00,111.0,132.61919,136.425
3,2026-04-17,LABORAL,09:30,136.0,109.956856,118.19327731092437
3,2026-04-17,LABORAL,10:00,139.0,131.4213,129.109243697479
3,2026-04-17,LABORAL,10:30,76.0,114.08813,113.42148760330579
3,2026-04-17,LABORAL,11:00,105.0,114.39634,109.06666666666666
3,2026-04-17,LABORAL,11:30,204.0,126.060295,131.00833333333333
3,2026-04-17,LABORAL,12:00,196.0,153.95778,168.94214876033058
3,2026-04-17,LABORAL,12:30,96.0,118.27108,136.71428571428572
3,2026-04-17,LABORAL,13:00,114.0,126.507385,138.76859504132233
3,2026-04-17,LABORAL,13:30,162.0,134.54747,133.775
3,2026-04-17,LABORAL,14:30,106.0,127.692924,143.08403361344537
3,2026-04-17,LABORAL,15:00,166.0,128.31857,138.91666666666666
3,2026-04-17,LABORAL,15:30,98.0,120.73087,133.2268907563025
3,2026-04-17,LABORAL,16:00,107.0,99.76111,104.41880341880342
3,2026-04-17,LABORAL,16:30,80.0,83.50722,82.12820512820512
3,2026-04-17,LABORAL,17:00,56.0,39.560772,51.9010989010989
3,2026-04-18,SABADO,04:00,36.0,38.23819,39.64
3,2026-04-18,SABADO,04:30,99.0,99.031136,96.1923076923077
3,2026-04-18,SABADO,05:00,163.0,202.21461,165.30769230769232
3,2026-04-18,SABADO,05:30,123.0,150.43825,143.46153846153845
3,2026-04-18,SABADO,06:00,222.0,170.08415,206.03846153846155
3,2026-04-18,SABADO,06:30,96.0,176.82239,186.15384615384616
3,2026-04-18,SABADO,07:00,123.0,133.57446,130.30769230769232
3,2026-04-18,SABADO,07:30,117.0,108.82663,104.5
3,2026-04-18,SABADO,08:00,107.0,91.02243,115.6923076923077
3,2026-04-18,SABADO,08:30,118.0,114.9783,104.53846153846153
3,2026-04-18,SABADO,09:00,90.0,90.806435,92.61538461538461
3,2026-04-18,SABADO,09:30,53.0,77.208664,87.88461538461539
3,2026-04-18,SABADO,10:00,50.0,80.03402,84.57692307692308
3,2026-04-18,SABADO,10:30,64.0,84.946266,79.34615384615384
3,2026-04-18,SABADO,11:00,47.0,74.663574,90.88461538461539
3,2026-04-18,SABADO,11:30,125.0,81.71568,78.96
3,2026-04-18,SABADO,12:00,83.0,98.02252,84.92307692307692
3,2026-04-18,SABADO,12:30,46.0,81.048035,76.95652173913044
3,2026-04-18,SABADO,13:00,68.0,70.75131,72.34782608695652
3,2026-04-18,SABADO,13:30,26.0,71.42912,61.36
3,2026-04-18,SABADO,14:00,98.0,44.938477,67.45833333333333
3,2026-04-18,SABADO,14:30,29.0,62.330154,66.375
3,2026-04-18,SABADO,15:00,35.0,77.724174,71.04347826086956
3,2026-04-18,SABADO,15:30,42.0,60.83578,58.68181818181818
3,2026-04-18,SABADO,16:00,39.0,55.23155,49.78947368421053
3,2026-04-19,DOMINGO,07:00,26.0,29.952284,28.31578947368421
3,2026-04-19,DOMINGO,07:30,51.0,37.527428,34.47826086956522
3,2026-04-19,DOMINGO,08:00,47.0,27.71601,40.708333333333336
3,2026-04-19,DOMINGO,09:00,45.0,33.781376,36.64705882352941
3,2026-04-19,DOMINGO,09:30,36.0,31.612526,32.95238095238095
3,2026-04-19,DOMINGO,11:30,27.0,43.746197,30.9375
3,2026-04-19,DOMINGO,12:00,23.0,28.177116,35.40909090909091
3,2026-04-19,DOMINGO,13:00,24.0,29.057545,31.61111111111111
3,2026-04-19,DOMINGO,14:00,22.0,34.664116,30.318181818181817
3,2026-04-19,DOMINGO,14:30,25.0,27.285995,36.375
3,2026-04-19,DOMINGO,15:30,22.0,26.768997,31.692307692307693
3,2026-04-20,LABORAL,04:00,57.0,52.979748,56.017391304347825
