route,dia_op,tipo_dia,hora,real,pred_decoder,pred_hibrido,pred_media
1,2026-04-12,DOMINGO,08:00,28.0,35.651215,35.651214599609375,35.90243902439025
1,2026-04-12,DOMINGO,09:30,31.0,35.678253,35.678253173828125,34.857142857142854
1,2026-04-12,DOMINGO,10:30,36.0,34.669205,34.66920471191406,34.853658536585364
1,2026-04-12,DOMINGO,12:00,36.0,34.976906,34.976905822753906,36.35897435897436
1,2026-04-12,DOMINGO,13:30,23.0,34.83023,34.830230712890625,30.86111111111111
1,2026-04-12,DOMINGO,14:30,22.0,33.46322,33.463218688964844,38.44117647058823
1,2026-04-12,DOMINGO,15:30,37.0,30.101181,30.101181030273438,36.375
1,2026-04-13,LABORAL,04:30,117.0,123.85999,123.85999298095703,126.84297520661157
1,2026-04-13,LABORAL,05:00,119.0,129.26477,129.2647705078125,124.36929460580913
1,2026-04-13,LABORAL,05:30,79.0,133.37965,133.37965393066406,142.9504132231405
1,2026-04-13,LABORAL,06:00,138.0,134.8905,134.8905029296875,144.8388429752066
1,2026-04-13,LABORAL,06:30,215.0,132.55574,132.5557403564453,133.86721991701245
1,2026-04-13,LABORAL,07:00,78.0,127.451096,127.45109558105469,132.74380165289256
1,2026-04-13,LABORAL,07:30,206.0,120.89673,120.896728515625,137.54132231404958
1,2026-04-13,LABORAL,08:00,48.0,114.83619,114.83618927001953,135.59751037344398
1,2026-04-13,LABORAL,08:30,132.0,109.355225,109.355224609375,137.56016597510373
1,2026-04-13,LABORAL,09:00,151.0,104.58887,104.5888671875,136.36514522821577
1,2026-04-13,LABORAL,09:30,100.0,100.61867,100.61866760253906,123.19421487603306
1,2026-04-13,LABORAL,10:00,85.0,97.512566,97.51256561279297,104.02066115702479
1,2026-04-13,LABORAL,10:30,74.0,96.4845,96.4844970703125,97.18595041322314
1,2026-04-13,LABORAL,11:00,95.0,96.919655,96.9196548461914,95.07851239669421
1,2026-04-13,LABORAL,11:30,118.0,98.73002,98.73001861572266,101.84297520661157
1,2026-04-13,LABORAL,12:00,86.0,102.292725,102.292724609375,112.2892561983471
1,2026-04-13,LABORAL,12:30,99.0,107.306076,107.30607604980469,135.95850622406638
1,2026-04-13,LABORAL,13:00,139.0,113.02404,113.02404022216797,136.65702479338842
1,2026-04-13,LABORAL,13:30,115.0,119.466995,119.46699523925781,147.03305785123968
1,2026-04-13,LABORAL,14:00,189.0,126.21245,126.21244812011719,152.2375
1,2026-04-13,LABORAL,14:30,80.0,132.11401,132.114013671875,158.37190082644628
1,2026-04-13,LABORAL,15:00,211.0,134.78026,134.78025817871094,178.95867768595042
1,2026-04-13,LABORAL,15:30,176.0,132.90776,132.9077606201172,182.11618257261412
1,2026-04-13,LABORAL,16:00,104.0,124.19405,124.19405364990234,152.8298755186722
1,2026-04-13,LABORAL,16:30,131.0,111.795364,111.79536437988281,126.90041493775934
1,2026-04-13,LABORAL,17:00,76.0,99.10193,99.1019287109375,75.65086206896552
1,2026-04-13,LABORAL,17:30,26.0,86.40217,86.40216827392578,39.00636942675159
1,2026-04-14,LABORAL,04:30,71.0,127.05081,127.05081176757812,126.89669421487604
1,2026-04-14,LABORAL,05:00,157.0,131.06473,131.06472778320312,124.24896265560166
1,2026-04-14,LABORAL,05:30,129.0,133.20345,133.2034454345703,142.93801652892563
1,2026-04-14,LABORAL,06:00,151.0,135.1801,135.1800994873047,144.62809917355372
1,2026-04-14,LABORAL,06:30,89.0,135.8544,135.85440063476562,134.2448132780083
1,2026-04-14,LABORAL,07:00,130.0,131.96326,131.9632568359375,132.6198347107438
1,2026-04-14,LABORAL,07:30,179.0,128.0704,128.07040405273438,137.50413223140495
1,2026-04-14,LABORAL,08:00,144.0,124.49031,124.49031066894531,135.28215767634856
1,2026-04-14,LABORAL,08:30,88.0,120.68111,120.68110656738281,137.49377593360995
1,2026-04-14,LABORAL,09:00,144.0,116.98422,116.98422241210938,136.54771784232366
1,2026-04-14,LABORAL,09:30,130.0,113.86642,113.86641693115234,123.01652892561984
1,2026-04-14,LABORAL,10:00,67.0,111.45358,111.45358276367188,103.82644628099173
1,2026-04-14,LABORAL,10:30,141.0,109.787,109.78700256347656,97.15702479338843
1,2026-04-14,LABORAL,11:00,103.0,109.564735,109.56473541259766,95.14049586776859
1,2026-04-14,LABORAL,11:30,88.0,111.72477,111.72476959228516,102.0909090909091
1,2026-04-14,LABORAL,12:00,146.0,115.44307,115.44306945800781,112.33471074380165
1,2026-04-14,LABORAL,12:30,143.0,119.72315,119.72315216064453,135.71784232365144
1,2026-04-14,LABORAL,13:00,180.0,124.491776,124.49177551269531,135.5909090909091
1,2026-04-14,LABORAL,13:30,62.0,129.44804,129.4480438232422,146.78512396694214
1,2026-04-14,LABORAL,14:00,114.0,134.46213,134.46212768554688,152.38333333333333
1,2026-04-14,LABORAL,14:30,186.0,139.04597,139.0459747314453,157.78512396694214
