route,dia_op,tipo_dia,regimen,semanas_entrenamiento,n,demanda_media,filas_ajuste,arboles,mae,sesgo
3,2026-04-24,LABORAL,ordinario,52,25,131.08,8606,167,39.431060028076175,16.900825653076172
3,2026-04-24,LABORAL,ordinario,999,25,131.08,18228,299,41.41733978271484,24.10871307373047
3,2026-04-25,SABADO,ordinario,8,23,96.30434782608695,986,171,22.412888402524203,-1.451658000116763
3,2026-04-25,SABADO,ordinario,13,23,96.30434782608695,1845,156,26.619622769563094,-3.6299058665399966
3,2026-04-25,SABADO,ordinario,26,23,96.30434782608695,4033,114,24.3370595185653,-0.790131776229195
3,2026-04-25,SABADO,ordinario,52,23,96.30434782608695,8605,175,24.127468938412875,3.2957634303880776
3,2026-04-25,SABADO,ordinario,999,23,96.30434782608695,18255,157,23.127898174783457,6.890950410262398
3,2026-04-26,DOMINGO,ordinario,8,10,30.8,985,150,7.731208801269531,0.9906841278076172
3,2026-04-26,DOMINGO,ordinario,13,10,30.8,1846,147,8.164098739624023,0.8935535430908204
3,2026-04-26,DOMINGO,ordinario,26,10,30.8,4037,198,8.352722549438477,1.4073593139648437
3,2026-04-26,DOMINGO,ordinario,52,10,30.8,8603,135,6.46973876953125,1.6887474060058594
3,2026-04-26,DOMINGO,ordinario,999,10,30.8,18279,295,8.36451416015625,3.467486572265625
3,2026-04-27,LABORAL,ordinario,8,28,137.32142857142858,980,132,34.70843655722482,-0.248208863394601
3,2026-04-27,LABORAL,ordinario,13,28,137.32142857142858,1845,156,33.611055442265105,1.2095334870474679
3,2026-04-27,LABORAL,ordinario,26,28,137.32142857142858,4031,169,34.78442791530064,3.618642807006836
3,2026-04-27,LABORAL,ordinario,52,28,137.32142857142858,8598,180,39.11889321463449,11.660879952566964
3,2026-04-27,LABORAL,ordinario,999,28,137.32142857142858,18287,159,45.16432367052351,18.094076292855398
3,2026-04-28,LABORAL,ordinario,8,27,136.25925925925927,980,248,30.525309103506583,-0.38325232046621815
3,2026-04-28,LABORAL,ordinario,13,27,136.25925925925927,1844,137,30.659690150508172,6.073683703387225
3,2026-04-28,LABORAL,ordinario,26,27,136.25925925925927,4030,354,30.461857407181352,8.693215688069662
3,2026-04-28,LABORAL,ordinario,52,27,136.25925925925927,8597,195,32.997940911187065,17.680826540346498
3,2026-04-28,LABORAL,ordinario,999,27,136.25925925925927,18314,204,37.98006241409867,25.65056073224103
3,2026-04-29,LABORAL,ordinario,8,26,149.84615384615384,982,198,33.940958756666916,-9.8267942575308
3,2026-04-29,LABORAL,ordinario,13,26,149.84615384615384,1844,170,32.897665170522835,-10.35971421461839
3,2026-04-29,LABORAL,ordinario,26,26,149.84615384615384,4031,148,32.53363902752216,-9.637156413151668
3,2026-04-29,LABORAL,ordinario,52,26,149.84615384615384,8597,226,32.91765682513897,-2.5341964134803185
3,2026-04-29,LABORAL,ordinario,999,26,149.84615384615384,18342,254,34.57628558232234,4.265577609722431
3,2026-04-30,LABORAL,ordinario,8,27,146.40740740740742,982,159,34.02713055080838,-13.35610184846101
3,2026-04-30,LABORAL,ordinario,13,27,146.40740740740742,1844,225,31.001921618426287,-12.835983700222439
3,2026-04-30,LABORAL,ordinario,26,27,146.40740740740742,4032,175,31.76565890842014,-11.608931929976851
3,2026-04-30,LABORAL,ordinario,52,27,146.40740740740742,8597,205,28.861942715115017,-2.7228967172128185
3,2026-04-30,LABORAL,ordinario,999,27,146.40740740740742,18369,204,30.163857495343244,4.402399275037977
3,2026-05-01,FESTIVO,raro,8,18,33.44444444444444,983,150,15.175752215915256,10.123650656806099
3,2026-05-01,FESTIVO,raro,13,18,33.44444444444444,1844,119,18.074290699428982,12.488175180223253
3,2026-05-01,FESTIVO,raro,26,18,33.44444444444444,4032,200,13.465134938557943,2.363893508911133
3,2026-05-01,FESTIVO,raro,52,18,33.44444444444444,8613,154,14.403860516018337,3.069064882066515
3,2026-05-01,FESTIVO,raro,999,18,33.44444444444444,18396,157,11.620779991149902,-0.19075234731038412
3,2026-05-02,SABADO,ordinario,8,26,81.76923076923077,981,173,23.556175525371845,-1.5559733464167669
3,2026-05-02,SABADO,ordinario,13,26,81.76923076923077,1843,138,23.062894381009617,-1.2203304584209735
3,2026-05-02,SABADO,ordinario,26,26,81.76923076923077,4031,102,23.632012880765476,2.2925667395958533
3,2026-05-02,SABADO,ordinario,52,26,81.76923076923077,8611,100,22.59628178523137,1.7743653517503004
3,2026-05-02,SABADO,ordinario,999,26,81.76923076923077,18422,160,25.310503299419697,13.949092131394606
3,2026-05-03,DOMINGO,ordinario,8,8,28.5,981,106,6.329874038696289,2.474795341491699
3,2026-05-03,DOMINGO,ordinario,13,8,28.5,1843,158,6.220826625823975,0.21129322052001953
3,2026-05-03,DOMINGO,ordinario,26,8,28.5,4030,181,8.338677644729614,5.884466886520386
3,2026-05-03,DOMINGO,ordinario,52,8,28.5,8611,145,8.01528000831604,7.470092058181763
3,2026-05-03,DOMINGO,ordinario,999,8,28.5,18447,179,7.460314035415649,5.037107229232788
3,2026-05-04,LABORAL,ordinario,8,27,141.85185185185185,985,159,32.50091058236581,-4.502810584174262
3,2026-05-04,LABORAL,ordinario,13,27,141.85185185185185,1847,108,32.534983458342374,-1.1516137299714264
3,2026-05-04,LABORAL,ordinario,26,27,141.85185185185185,4019,131,31.75580060040509,-0.793212890625
3,2026-05-04,LABORAL,ordinario,52,27,141.85185185185185,8604,124,32.14757961697049,9.266090110496238
3,2026-05-04,LABORAL,ordinario,999,27,141.85185185185185,18458,155,37.474205299660014,19.11064374005353
3,2026-05-05,LABORAL,ordinario,8,27,140.77777777777777,985,157,41.18465225784867,-5.473554257993345
3,2026-05-05,LABORAL,ordinario,13,27,140.77777777777777,1845,124,38.80530731766312,-0.547027729175709
3,2026-05-05,LABORAL,ordinario,26,27,140.77777777777777,4025,197,40.35007815890842,4.331504821777344
3,2026-05-05,LABORAL,ordinario,52,27,140.77777777777777,8603,155,37.56161117553711,11.014532159875941
3,2026-05-05,LABORAL,ordinario,999,27,140.77777777777777,18485,153,41.18904283311632,15.602891710069445
3,2026-05-06,LABORAL,ordinario,8,23,124.21739130434783,985,125,34.40333573714547,16.70540602310844
3,2026-05-06,LABORAL,ordinario,13,23,124.21739130434783,1844,185,33.70961562446926,19.457567297894023
3,2026-05-06,LABORAL,ordinario,26,23,124.21739130434783,4025,146,33.166009985882305,18.55597686767578
3,2026-05-06,LABORAL,ordinario,52,23,124.21739130434783,8601,213,38.473633807638414,27.463895383088484
3,2026-05-06,LABORAL,ordinario,999,23,124.21739130434783,18512,186,41.18114836319633,33.62371361773947
3,2026-05-07,LABORAL,ordinario,8,26,142.46153846153845,987,182,33.56813166691707,0.21773646428034857
3,2026-05-07,LABORAL,ordinario,13,26,142.46153846153845,1844,151,33.01348510155311,0.2915677290696364
3,2026-05-07,LABORAL,ordinario,26,26,142.46153846153845,4025,232,33.05482233487643,-0.887940186720628
